gameId,gameDuration,puuid,summonerId,teamId,win,teamPosition,champExperience,kills,assists,turretKills,epicMonsterKills,visionScore,visionWardsBoughtInGame,magicDamageDealtToChampions,deaths,totalMinionsKilled,timeCCingOthers,totalDamageTaken,totalHealsOnTeammates,totalTimeSpentDead,goldEarned,objectivesStolen,objectivesStolenAssists,participantId,participantsAssisted,towerKillsAssisted,monsterKillsAssisted,participantsAssistedWithPressure
EUW1_7102149149,28.3,lMsfP9hf43dhp7OQG_q3V1De4Oul16JJfqit2DnjvYABP1nAplW5SmoXWyDzUgi6cWkxqf3PI9NeFg,beyVUmaIAio82Q7dev8-_cwWcGcYgiF7QyDgQ-yNSecVVF0mmO8i3CpiCA,100,1,TOP,17046,8,2,2,0,13,0,17156,3,234,7,34692,0,84,13748,0,0,1,"[3, 4]",[2],[],[]
EUW1_7102149149,28.3,AV48rbjWvOtwWitNshhCtsoRk5ZNK_13oGQpk6Knd4LsDmM7sPCQL-Qbozz2zjI1B_kZRfnay5f1WQ,Xd2KiJUSqIZeBTeR55QIwCM_yoy3rkKJGbkvFPPp13odkyQ,100,1,JUNGLE,12965,2,7,3,0,11,0,442,10,27,11,34399,0,270,11118,0,0,2,"[3, 3, 3, 3, 3, 4, 4]",[3],"[5, 7, 7]",[3]
EUW1_7102149149,28.3,NiJkMQ4cYnf9UaijOWwzcnYN9ADIB2WJbcLKgIUkEe2aeSS4hcnGwpvj2ikPEUuiEOJP5IclSpJa8g,CtuA1BE9BQBsyFz8QiTNejCohS2QwnFsYj9PRgXG3DIPHT-vroZtSItLOw,100,1,MIDDLE,13072,7,1,2,0,19,1,21008,5,177,20,20812,0,179,12144,0,0,3,[2],"[1, 2]",[],"[2, 4]"
EUW1_7102149149,28.3,bXS6gTjAkutxCLMyr8MWXto2NHyrUlsvXe17Sxr19TL_le421zP0FLEWADHAlvAP5UOwE2gsdMZTOw,xr78-ygJrtLP8wqWuoCO-gr4qjA0Jp83HPoCbwQQxfBc6h8,100,1,BOTTOM,11271,4,4,0,0,19,0,780,11,165,9,23348,0,269,10644,0,0,4,"[1, 1, 3, 3]",[],[],"[1, 1]"
EUW1_7102149149,28.3,KskCm8TyB2qRfY9XjUpkdSl8u4pxcysBXDSGn7bvzp3C5A8k7z_n6Km69BAOCmo9BF-_RH5DvDrgwA,PvaWpkLWYyboek6DC8JIXhlkAV-1EwEYV1_mWktjjNpFUgFwpUJbX5AZ5g,100,1,UTILITY,9783,0,10,0,0,21,1,4421,6,9,20,19762,5367,141,6768,0,0,5,"[1, 1, 1, 1, 3, 3, 3, 3, 3, 4]","[1, 2, 3]","[2, 2]",[4]
EUW1_7102149149,28.3,2PCFkS_HJX1p14GUKB-d-NLBELiXAhEpWAHXRKJGsUW6ZUQ0RzTxiY7VqhlHn2yTseroURnJT4IOdg,25EC8NUhNnQRHQHYcBkjfxzwRtTI3rZLcXAYZ6962Xc2mAE4,200,0,TOP,13394,5,8,2,0,26,3,2880,7,148,10,28462,0,207,10900,0,0,6,"[7, 7, 7, 7, 7, 8, 9, 9]",[],[7],[]
EUW1_7102149149,28.3,i-_cN4KIkWT1swWMPBTTxjtetoTm7XWGbHu87bM3b4R13w0Bstc2uAbYU69epBb8pwOktLQTVfvCMg,aPyfOY3tVgubkdvf6w36Zn07v7AWYoNgh6sHy6nWY1gj55jbByUPaXoihg,200,0,JUNGLE,14836,8,5,2,4,17,0,253,3,41,20,35289,0,113,12022,1,0,7,"[6, 6, 8, 10, 10]",[],[],"[6, 6, 8, 9, 9, 10]"
EUW1_7102149149,28.3,ZAO4JYp80VV-SRP3ENmmd7WgsI5NPJFOGBbbcFA7UxWUenSG8TJuRCM1uMtpapsnKkorP-g8T6FVTg,fYhDVXD7TmxszfV1VzHUKV3PdY9E2TQwdDT79FcIDZkudbI,200,0,MIDDLE,15473,6,1,0,0,18,0,13729,5,181,7,22992,0,129,11087,0,0,8,[7],[],"[7, 7]","[6, 9, 10]"
EUW1_7102149149,28.3,--clOu23WJYBxUdjzqTYcx1Th8e7ukzmYgLs4PYemCqougNpJC_zsFRJEBEi_z9zWtkYyzRh9l0-sA,i2C7vepB2cU1kipgew2-5lGd7hgN3oPEUv9FMX40Ha3sMonZPGS7QZrcTg,200,0,BOTTOM,11886,11,12,2,0,29,1,5384,4,201,3,26269,0,100,12696,0,0,9,"[6, 6, 6, 7, 7, 8, 8, 10, 10, 10, 10, 10]",[10],[7],[]
EUW1_7102149149,28.3,gvBXtoxyXcxWaiozgZvkMLHmFtQlllCjh44czY22e_DPoDkghldirVby_iKI-UFbfHr-OEUb-3uzYw,YPZu2fNpBPLduSozVQ_lpl-HGUTJiF0SrnTMBd_INTWxs0I,200,0,UTILITY,12547,5,20,0,0,36,0,13053,2,7,21,4635,7815,28,9500,0,0,10,"[6, 6, 6, 6, 7, 7, 7, 8, 8, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9]","[6, 9, 9]",[7],[]
