summonerId,queueType,tier,rank,leaguePoints
Xd2KiJUSqIZeBTeR55QIwCM_yoy3rkKJGbkvFPPp13odkyQ,RANKED_SOLO_5x5,SILVER,IV,0
xr78-ygJrtLP8wqWuoCO-gr4qjA0Jp83HPoCbwQQxfBc6h8,RANKED_SOLO_5x5,SILVER,II,45
fYhDVXD7TmxszfV1VzHUKV3PdY9E2TQwdDT79FcIDZkudbI,RANKED_SOLO_5x5,BRONZE,II,77
i2C7vepB2cU1kipgew2-5lGd7hgN3oPEUv9FMX40Ha3sMonZPGS7QZrcTg,RANKED_SOLO_5x5,GOLD,III,63
YPZu2fNpBPLduSozVQ_lpl-HGUTJiF0SrnTMBd_INTWxs0I,RANKED_FLEX_SR,BRONZE,II,64
OE4OfpVw7W26BJZCzbKnC9C_bLqRRNXsQNEjEEQfURcV2-7I9E2AM1H5Ag,RANKED_SOLO_5x5,SILVER,III,86
Ho0u1ov0nZ3UGS6zjPn1CKNiWPRSWeXW0PoOT6K1h2nxS4Tfy9UQXrzy6Q,RANKED_SOLO_5x5,BRONZE,IV,22
wdoAD68gwew5LQTpD3tcxhMKjJT9sQGMP-BqFze1kH9VdEICqMnsCqK0Aw,RANKED_SOLO_5x5,BRONZE,IV,50
6shGC15Vt19w0g-YX33PJijI91bHZoUMEkqpz22Da2THYmmqf88yEyl6sA,RANKED_SOLO_5x5,BRONZE,IV,0
ZWPN4OXp56SlAiMHFjGRjYyupXtq4gaEcbLynQq9-5efPUWc,RANKED_SOLO_5x5,BRONZE,III,86
UNEwonaVa7ttBOr8HgzeQQ2Nc_AWKDa3X2oIhYe7W_85nzMtFFscmcG7Ng,RANKED_SOLO_5x5,IRON,IV,17
dqlJRckbliCvbZ_UxpkeRVPFiy6ghbjairrdk0nP88GPaUuaE5aNoaDnfA,RANKED_SOLO_5x5,BRONZE,IV,3
LSoxRvkC_FBCezKZvzhzdAvIGvuq47DRF03bw0wf6ipXYi6l,RANKED_SOLO_5x5,IRON,II,68
urMqoBHLvge003_UlbDVtFxRI9hc1IUgDUHJibJyX7OPQHs,RANKED_SOLO_5x5,IRON,I,49
IB17wcNnxvRxXv3ATJwo0BFBKl6funU0RU9f5Chg8wkm3sRu,RANKED_FLEX_SR,IRON,I,49
6OSj8EMpeN-25RAzOVlkLoMss0qbRSDWt_DSV-EK9TbgAUFA,RANKED_FLEX_SR,IRON,II,51
WL5b92v_8-lP1RvTKado4XL7ZnGnozfSHkOJyz6ruPhbaYIL,RANKED_SOLO_5x5,BRONZE,IV,36
7ik42UGLweXMslY7AHf4oJl2yIY7tJOHWfrQztibBg6D6aeq,RANKED_SOLO_5x5,IRON,I,19
0NLQyGfaAXLTzJcl1WZO42ltK5qavhUXzWQ791LgAVgyO8U,RANKED_SOLO_5x5,SILVER,II,15
a9gRIl7rajMH86JHftQ9cbFyhwNUbt38Crej8v4AL8-uZcxabZIqns-zfg,RANKED_FLEX_SR,SILVER,II,76
QzW2ELGr4r2s3N5uISGAYaAoWBWnNArn2S5gTKyAMBdkRD7mv4M_D-hiFw,RANKED_SOLO_5x5,BRONZE,III,83
gS43rS2xaQaAjLGCAfcOAa6ZDXaq47erTXj0JFMpkZZZbLI,RANKED_SOLO_5x5,BRONZE,I,35
CRqRorlfgRjGcj36zhSoD4Dfhd5mWSbSoP1mvWYZyv5lJvM,RANKED_SOLO_5x5,IRON,II,32
6bt1Q110xXqJzNuCLY8SuF8JzdboTQkHeXsFn8dw9Hu36oklei7H12_Yew,RANKED_SOLO_5x5,SILVER,IV,70
mlA0sSIRHUtlbdOwMfSI2IAqbKByWANg46rVpee3PWyvaoM,RANKED_SOLO_5x5,SILVER,II,61
a8hweJnqM0dLynnRRwYM5rGxTMMl_ChvGGcd0X5hIbvOHGI,RANKED_FLEX_SR,SILVER,III,69
e0gGhMcQRSqQS9XVpq6U5hkBAL54Jyx84Vs9F4Ee8UuJ3tE,RANKED_SOLO_5x5,SILVER,II,58
jemzfWMsdTUwGFBL0_yJ2IGd_mBjB0cfsxAc0OylWjVTKgY,RANKED_SOLO_5x5,SILVER,IV,89
HXCgHLgzsMUjEfYsr53g0zShVll-CCsX3_MxDb-BtEdPpfY,RANKED_SOLO_5x5,SILVER,IV,60
Cen8RHoCxMsB1dQtBPx3KLGhk26slTDnrMOm1eilGX_J_88,RANKED_SOLO_5x5,SILVER,III,75
_U4xb4i-EqP7nOWuhfrJuEUe88vvCTwinpd7BLq5-53P4jE,RANKED_SOLO_5x5,SILVER,I,24
YBqGjstCR-41btzqIOKWbruFwbrJ5RlaRCtaw4Qxj7bNIDIKY0cqiR-2hA,RANKED_SOLO_5x5,DIAMOND,I,99
rQLe27shxRSEU9svjDeJNdh69WBPyuh4HoOWHfTlrLgE9hBI,RANKED_SOLO_5x5,MASTER,I,189
YcxYCCdSWw-fjx-xEMH9DGC6mR_P2A9pmEFzD5Za01oOj2eS,RANKED_SOLO_5x5,DIAMOND,II,46
rp64bD0GBu_4f574wNyxNE-bfiuT4zwfYPZYzLKzFDUPNH5_85_6jqO4Vg,RANKED_SOLO_5x5,GRANDMASTER,I,448
6QjTVyScEfTsw82HP-WcyE4aF_b04OEiYUYJY7uF8xugpqaw,RANKED_SOLO_5x5,GRANDMASTER,I,249
K8X74fpcAaymHpo2eTrH3H87W8EF3xDP-uqJfc7hNhwYYnaYUKOMSCWY5A,RANKED_SOLO_5x5,DIAMOND,II,12
MsYV2IuaSsFt3RGAJ5QR5ESdC7ocYa3rQzEAoRvgrPPpiD8,RANKED_SOLO_5x5,DIAMOND,III,86
8XPAKPBMBlj_zospjN58XVLfx_W9bpTxLiDzkX3nvcvqxV0,RANKED_SOLO_5x5,CHALLENGER,I,929
lvnseY8lvKgFSldgCQD52Sh64IBFTu-9nvPbSZDXBUrYdLt3_WIDebC6Pg,RANKED_SOLO_5x5,DIAMOND,II,86
Hjt80nWvRiJagpmKOEJ1mUeMxjZn86L_uiRzA-PBL1OXmXM,RANKED_SOLO_5x5,DIAMOND,III,79
MiYNOURyf08JZsI5A4Zinq3xyo_kaRuCb1k8TZ9DrjgNvaU,RANKED_SOLO_5x5,SILVER,III,72
VEZAgdlQuznwEbo1ipMRvVHPag8NMR4HvinlL_RLW6IpZMB9ZQqWfMu7kA,RANKED_SOLO_5x5,GOLD,IV,23
1Ff9GhbwpVZ4IVKDCXvUOuSe8kw9yVPS6Gkk9ga_DGnu1rKxmxhebg6izQ,RANKED_SOLO_5x5,GOLD,II,7
lZyx8pvmKZF-zntJjRvkJ47DARff0c1iJLR6ksguG-d0TiQ,RANKED_SOLO_5x5,GOLD,IV,74
xT4xwsa86wPDd1ziLt6Rp3cl7dhFlg4ZMPyWRFMiqz9PlUM,RANKED_SOLO_5x5,SILVER,III,45
AkX8tV6W-w72jEwez8FQC1gAjiuoiu25bKKpOtveZ3U15pCD,RANKED_SOLO_5x5,SILVER,III,16
hW-MAfqFcuyiqptL6T4MUSAGDb6xn8l8qjXsC0KctntpNDY,RANKED_SOLO_5x5,GOLD,IV,36
nnMZ89-Uk7BkYd44l4ZcH7e6NfExs1rdOXHy2AnPiqf3Q6HM,RANKED_SOLO_5x5,GOLD,II,2
uecrxxFw3SVVywsmB9TpgZKNHrHExbXQwRDxCgSki3Vs_14,RANKED_SOLO_5x5,SILVER,I,35
yM4McDpFwYXwjXgFK7cOXwbrjhEvUP8Sh1DOMYxfhOvWr8w,RANKED_FLEX_SR,GOLD,IV,5
wCglU7diRRBnkzjKjR0eDo0lYmoX44FilNNdFI8-DZEzfT8,RANKED_SOLO_5x5,SILVER,IV,71
2vjkYXdARgahPrvWMrVvbDbU1rwoBiMLtOBFbVDvaXjp17ZG,RANKED_SOLO_5x5,BRONZE,II,94
9tEyVnlyw2uLNraBYAhEA8yX6ao_0ySfdJuw1hAXFVQbmHA,RANKED_SOLO_5x5,BRONZE,I,57
QFuQpdaQsH92xKBUSGrzqLmymwtJJRj-1kUEtaYUaFVoTkg,RANKED_SOLO_5x5,BRONZE,II,19
ztmSRzcm-HzwNVNhOnb-vZnAYFY3ZkTuAK2FNmPIxMyy0RQe,RANKED_SOLO_5x5,BRONZE,III,90
DGq5CKYa9jYU-BjKVLSZiUvLrSLlaMgkDCWRJ8xrxaLm,RANKED_SOLO_5x5,BRONZE,III,99
WGhAPASSRPtFWU2IQhocZ3S3JU56XJjj1-20nafe0635QTUV,RANKED_SOLO_5x5,BRONZE,III,38
